AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
-1650,1040,4117,627,17,-313,122,165,-270
-1308,1448,3556,1545,164,-262,164,135,-280
-1268,2017,2374,1728,103,-435,184,75,-280
-1119,2444,1886,939,-476,-752,215,0,-255
-1191,2679,718,652,-429,-289,225,-56,-234
-1032,2467,1076,-1342,-568,-299,219,-74,-242
-864,2046,1814,-1543,-683,191,200,-38,-274
-527,1689,2822,-1787,-230,-57,168,52,-315
-210,455,3458,-2126,-388,-275,145,153,-327
-543,-1043,3404,-2420,157,41,136,267,-293
-332,-1543,4815,-1716,-229,-51,190,360,-202
-570,-2048,4782,-1454,212,-61,254,368,-110
-853,-2617,5544,-655,1054,-22,434,344,-68
-1058,-2075,4485,190,260,162,649,436,-53
-1154,-2225,4477,262,107,52,754,486,-26
,,,,,,,,
-1259,-2774,4494,627,-272,195,748,459,-28
-130,1019,3978,35,2,4,105,158,-302
49,1251,5794,616,293,-80,103,150,-288
-253,1245,5312,919,186,-137,106,148,-294
-361,1046,4407,1821,-614,-722,121,134,-308
-612,1404,3315,1237,678,-245,127,74,-323
-658,2017,1823,1558,243,-631,148,10,-328
-1204,2421,1226,1458,-823,-827,188,-56,-306
-714,2690,212,-794,-297,131,196,-98,-283
-191,1970,1555,-1938,-400,81,176,-103,-288
0,1217,2815,-1889,-847,-16,154,-23,-331
-376,401,3662,-2151,-104,-7,129,75,-360
-109,-521,5942,-1995,-856,-6,128,198,-331
-142,-719,4506,-1387,249,-193,151,272,-270
-445,-1272,4650,-1136,801,-87,212,287,-200
-744,-1551,4481,-815,-447,-177,322,265,-145
-202,-1679,4462,-608,-279,-45,423,259,-147
-234,-1945,4278,-207,197,12,515,274,-167
-213,-1900,4120,-8,25,-35,581,286,-167
-391,-1863,3728,103,597,61,613,291,-157
,,,,,,,,
-703,-1876,3766,282,193,80,612,284,-140
-166,568,3902,-115,-34,146,80,195,-308
373,-10,5915,193,505,-447,88,196,-310
-8,53,5548,486,301,-694,98,204,-314
-99,-84,5551,1065,234,-1008,124,226,-322
-955,621,2722,1645,608,-1062,148,219,-351
-1859,635,2455,2705,-579,-545,176,152,-373
-3329,2940,429,2267,-2230,-3471,159,10,-356
39,2848,438,-539,-740,26,126,-62,-344
33,2601,981,-2039,-144,565,95,-65,-362
237,306,2725,-2518,-398,783,70,12,-389
1140,-704,3449,-2168,-925,85,60,171,-387
132,-2469,5565,-2494,-1056,561,74,300,-307
203,-3598,5915,-2094,103,604,178,336,-191
243,-3438,5236,-409,-83,213,384,301,-155
94,-2991,4529,102,55,216,536,302,-180
-232,-2651,3497,383,-22,416,587,298,-181
96,-2646,3789,793,-233,444,540,255,-177
114,-1920,3486,1084,-336,43,447,210,-163
-84,-991,2955,842,-163,-302,356,188,-184
,,,,,,,,
765,-956,3731,344,-68,192,299,173,-191
-597,992,3654,148,47,124,34,145,-288
1135,839,7135,800,-547,-572,38,158,-312
1166,978,5969,1743,-389,-917,36,165,-311
710,238,5740,926,-154,-1365,32,161,-324
-847,923,3120,2095,45,-1204,43,134,-346
-1175,1889,1510,2096,-1072,-1193,64,39,-354
