AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
-99,2639,3181,-19,-80,-41,72,-166,-428
730,-804,4397,-782,458,93,-36,167,-266
-224,-1672,4828,31,869,-636,143,45,65
-628,-1593,4586,229,936,-723,188,48,48
-660,-1436,4437,438,748,-390,253,82,4
-1110,-1256,4307,590,928,-191,285,154,-81
-1724,-1075,4129,770,407,48,271,229,-152
-1590,-753,4335,1358,581,230,265,295,-217
-1958,164,3235,2231,930,292,252,330,-282
-2249,1231,2840,1337,-49,835,252,276,-333
-1439,1579,3054,768,-602,928,237,202,-345
-780,1948,2780,653,-473,905,203,136,-377
-187,2459,2167,364,-555,709,152,83,-395
361,2140,2152,-685,-410,545,114,40,-416
485,1915,2464,-1006,-808,430,77,48,-440
1315,1488,3334,-1195,-665,311,10,98,-457
900,961,3828,-1277,-244,181,-30,160,-473
926,290,4035,-980,102,213,-54,236,-446
656,50,3984,-870,-472,88,-62,285,-420
1176,-175,4287,-795,1881,707,-80,318,-385
,,,,,,,,
885,-612,3945,-977,524,223,-79,344,-329
-201,2411,3365,-71,-101,-25,89,68,-468
684,1022,2430,-1660,-1403,367,49,165,-485
662,516,3088,-1814,-532,825,21,185,-488
1698,-607,5854,-2491,665,690,-37,265,-468
2288,-1487,4569,-2113,533,674,-77,343,-375
1821,-1778,4596,-1169,1992,-101,-101,360,-250
57,-2475,4596,-692,2240,-750,-69,264,-86
-1217,-2499,5082,378,2089,-925,108,161,29
-2255,-2397,4384,1091,825,-500,249,193,19
-2083,-1825,4123,1442,298,8,293,318,-83
-2315,-1185,3800,1662,609,474,287,400,-174
-2104,-305,3594,1802,46,475,284,420,-275
-1640,771,3288,1839,607,609,264,382,-341
-1780,1680,2621,1696,499,825,258,285,-396
-1237,2162,2228,924,-73,1188,246,175,-406
-714,2397,1395,1,-328,1125,220,87,-411
401,2209,1520,-1029,-654,690,168,40,-420
989,1882,3204,-1347,-744,350,112,53,-456
302,1963,3289,-1151,-98,249,61,115,-482
,,,,,,,,
529,1363,4601,-885,-474,29,37,179,-492
-140,1483,3778,21,16,19,76,213,-485
596,727,1867,-2431,-1703,358,42,246,-474
573,-271,2213,-3139,-2237,1105,3,283,-465
3907,-2038,3522,-3042,-1324,977,-55,352,-415
2175,-3142,4091,-2179,1521,645,-93,396,-274
1688,-4265,5348,-1035,1913,-404,-66,256,-124
-459,-3900,4674,1208,1682,-1226,115,45,-24
-1602,-3027,4639,1546,1388,-801,296,210,-89
-2122,-2292,3826,2482,713,-385,292,375,-166
-1881,-1361,3577,2613,614,360,257,444,-244
-2169,185,2773,2394,530,1155,245,404,-351
-1073,1403,2110,2021,-204,1407,228,278,-403
-39,2395,1532,1307,-214,1176,184,146,-421
243,2687,686,-477,-390,976,129,39,-415
953,1725,2283,-1886,-629,434,79,31,-433
1533,1258,3732,-1888,-865,208,28,97,-448
1232,219,4268,-1692,-215,376,-23,224,-441
1305,-290,4321,-1302,-80,282,-42,290,-398
1069,-978,5213,-777,-33,347,-60,329,-340
,,,,,,,,
1215,-924,5267,79,273,276,-68,346,-287
456,1177,3971,-30,-4,-13,22,233,-467
839,252,2003,-1896,-420,427,0,277,-436
1052,-378,2804,-2153,-12,701,-15,303,-417
821,-1722,3414,-2336,-40,1784,-39,343,-369
1034,-3521,4215,-2459,1053,535,-67,356,-203
909,-4630,5902,-824,1053,-993,-249,-79,163
489,-3377,4680,1270,2018,-1617,217,-367,197
-1719,-3124,4398,1342,2262,-959,449,-29,44
-2313,-2494,4003,2000,607,-143,390,284,-43
-2274,-1343,3171,2185,635,629,307,432,-140
-1747,-151,2653,2014,-904,752,287,435,-262
-855,864,2551,2295,-406,956,246,347,-354
-267,2155,1216,1252,191,1346,196,221,-398
674,2252,891,-565,-132,842,167,124,-392
550,1495,2189,-1553,-558,425,137,110,-394
797,830,3532,-1431,-654,417,85,173,-406
1131,501,4053,-1569,13,208,42,242,-381
809,-373,5171,-1394,33,149,26,304,-310
783,-448,5104,-735,-23,51,-1,317,-219
,,,,,,,,
779,-605,5271,-223,200,85,-18,297,-143
-76,1614,3788,13,-6,14,114,211,-431
513,-175,2765,-2177,-1483,199,134,250,-419
1213,-208,2745,-2331,-131,305,114,295,-406
908,-1698,3475,-2878,-398,-183,73,371,-353
383,-3401,4271,-2525,1325,346,34,382,-182
-580,-5062,6239,-1447,2200,-1057,64,-22,118
-1658,-4620,4989,1049,1553,-569,438,-163,74
-3218,-4340,4120,2956,1319,310,500,196,45
-2954,-2004,3118,2913,-205,1074,377,407,-8
-1905,-211,2743,2267,-30,1076,318,461,-182
-1335,436,2362,1847,-183,744,291,383,-300
-1142,1462,2236,1379,96,1017,269,272,-349
-911,1461,1891,1032,105,1285,245,185,-351
-1,2345,-219,-1038,730,1444,225,95,-345
262,940,3034,-2196,-1708,573,196,71,-350
1588,926,3432,-2039,-767,304,122,151,-389
979,-333,4735,-1940,-717,-105,54,259,-397
870,-1261,5612,-1243,-122,-115,1,347,-349
538,-1144,5231,-93,-143,-43,-25,384,-284
,,,,,,,,
741,-806,4871,408,-207,-118,-42,375,-249
-971,1965,3563,-50,242,-41,167,112,-367
1070,-1499,2155,-3423,-4358,-314,203,267,-344
885,-3272,4810,-3703,-1665,303,174,300,-340
881,-3092,6272,-2042,1027,540,63,425,-244
145,-2791,5105,-1234,1235,-779,4,386,-44
-1946,-3853,6434,-173,736,-1213,24,122,235
-3529,-4152,5636,979,1373,-807,242,88,187
-2968,-2838,3425,2999,729,-266,275,356,37
-2983,-1262,782,2873,1144,863,277,499,-120
-1733,459,392,2407,-216,1126,282,423,-268
-1278,1738,2860,1679,-1312,2026,261,275,-343
191,2148,1119,328,776,1089,199,141,-360
230,2101,754,-1218,-726,561,177,86,-367
354,963,4110,-1916,-2219,443,133,117,-387
332,646,4242,-1627,-312,334,61,220,-406
1238,352,5321,-1050,-1332,-196,25,285,-392
1081,-37,5701,-764,62,-14,-22,348,-343
388,-259,5117,160,353,-17,-29,376,-303
118,39,3930,401,80,69,-31,375,-290
,,,,,,,,
