AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
-5387,-721,1353,-1760,-681,-1381,441,-172,-96
-875,1074,4070,8,197,488,169,-74,-505
2266,938,4656,1033,1546,-927,130,-115,-525
1831,831,2749,1618,1425,-2053,135,-135,-527
-238,858,-359,974,1026,-3105,181,-158,-523
-2523,561,817,32,-156,-2393,297,-153,-490
-3520,535,2683,-1450,-406,-785,354,-89,-472
-4078,-458,3492,-1721,129,530,360,6,-461
-3390,-456,3319,-1836,-1424,1489,364,74,-396
-730,-494,4144,-2309,-1055,1194,328,63,-330
457,-2145,7284,-893,-1979,682,233,37,-279
1708,-1247,6873,1228,283,567,84,5,-245
1073,-824,4114,1675,1208,-264,75,21,-294
-686,-122,801,608,1771,-744,152,23,-346
-222,475,2415,4,401,-1426,252,25,-350
-1018,-506,4707,-75,728,-2486,297,44,-300
-3671,-1693,4613,581,950,-2008,370,86,-241
-3996,-1394,3354,1704,372,-764,430,166,-243
-3998,-414,2621,1424,575,341,455,190,-304
-3071,428,2123,718,63,1008,469,160,-335
,,,,,,,,
-2706,766,3186,745,-314,1165,464,98,-356
715,1851,3620,9,-36,7,35,-152,-542
1461,1817,4224,641,970,-474,30,-143,-541
1335,2041,3639,908,1148,-450,40,-149,-542
127,2238,2464,469,838,-623,92,-180,-540
158,2072,1611,-467,456,-1548,152,-205,-523
-964,1193,1936,-1569,261,-1730,218,-161,-510
-2826,-137,2905,-1854,295,-790,278,-43,-494
-3249,-1592,4816,-1708,63,759,303,70,-442
-2190,-775,3689,-1607,-933,958,292,114,-359
-63,-616,4715,-1221,-1101,832,225,96,-276
657,-2007,6163,-18,-1377,158,111,65,-195
2166,-925,5205,668,-77,-281,41,52,-187
856,-1716,4552,1012,835,-900,44,66,-213
-1014,-807,2093,1241,1383,-726,115,85,-276
-612,758,1435,20,756,-1328,211,98,-316
-1106,-808,3636,-685,813,-1356,281,108,-316
-2029,-1465,4394,54,1191,-1405,348,153,-276
-2493,-1558,3804,651,1031,-1273,408,203,-248
-3484,-1723,3181,1223,789,-485,438,280,-259
,,,,,,,,
-3030,-731,2047,659,254,195,440,298,-291
-138,1621,3780,-21,-1,14,139,-97,-555
-799,1216,1891,268,1316,-1419,172,-117,-545
-1175,1205,1626,-74,1012,-1342,191,-112,-542
-1842,1156,1614,-730,361,-1125,261,-97,-511
-3548,-400,2026,-2073,17,-572,311,-30,-481
-3745,-1092,3791,-2259,-880,246,319,74,-413
